,WATER_BASE,EMAX,kge,cc,alpha,beta
43,76.458772681281,8.39788990323432,0.903005507476476,0.9116689621309486,0.9626643673881919,1.0145468163646987
1,55.8986042357981,7.96222632131539,0.8876397527831996,0.9113227898117285,1.0678144906694658,1.0127425430384425
49,81.2378620274365,9.52078197808005,0.8513862371644934,0.9185598406568721,1.1231983489420398,0.9833952486242779
28,36.551895432919295,6.57595635671169,0.850104352034539,0.8834265793263121,0.9121641036382059,1.0341203484996995
29,85.37310958057641,10.1591181261931,0.8452059435854131,0.9190015122026455,1.1300796545700833,0.9780972982773378
19,26.7408209871501,7.03069540294819,0.8306391801774085,0.835573678768972,1.0348537807684695,1.0207914920954362
35,31.7057913873345,7.32759538497776,0.8151161645337918,0.8648528237796683,1.126147850159554,0.9980016815846172
9,68.4031438313424,7.5874131326098,0.8084055273731264,0.9029100164789229,0.8401437788831899,1.0415688057478238
10,45.9671574290842,6.3950945799239,0.8005679254656949,0.8968053624998409,0.8370710365759744,1.0507757030659342
24,57.64119137860829,8.61662845415995,0.793109190943876,0.9155375692648836,1.188296081717589,0.9853545134592161
22,73.412620171532,9.604307260271161,0.7914673944166001,0.9211870027868264,1.191474990219349,0.975267689509908
27,66.8205829508603,9.205634536221618,0.7793341274311628,0.9207160057831569,1.2043621315411353,0.974630830333777
25,24.3983878061175,8.89837486366741,0.7704786479410503,0.78381958895186,1.0727858279061164,1.02546181819994
20,42.0123440802097,6.117184402327981,0.7639292614297966,0.8894048456762406,0.7995797981277905,1.0577048362850807
47,48.34526860825721,8.10789444707334,0.7496935386381774,0.9059178589303029,1.2300311601065577,0.9702083785058548
2,22.5310428544879,10.439179843338199,0.7325412024318023,0.741111875878295,1.0572284140066832,1.0351575911525586
11,25.8474278945476,11.4849030086305,0.7244416805491187,0.7922861163788024,1.1809306282654688,1.0071720098338084
4,38.0906332626939,5.68387751230039,0.672953196569961,0.8788617230711847,0.7041025346233654,1.068773683049605
46,38.9939243227243,9.14020368796773,0.6652859352973968,0.8822191391208488,1.3104864018207214,0.958055176663549
18,32.7128862310201,11.2103706575464,0.6623884522520032,0.8582846330167462,1.3041895474186964,0.9630266153184708
14,34.9571074169129,10.3835627940018,0.6458608696852387,0.8671963670085739,1.3246794382884712,0.9514100726790327
38,83.1744158547372,7.64129128255881,0.6159318998844608,0.8746301404751663,0.6405409302189893,1.050792528990529
37,17.3947551727295,10.817644922574999,0.6153229993190676,0.6293746425197513,0.9357332242479879,1.0805172079741747
16,64.1157227940857,6.71079896702431,0.5865108257972296,0.8630019958304777,0.6141144263819482,1.0574209727357844
41,20.4298143535852,5.15536109548993,0.5735937392890522,0.7953361195296245,0.6367242461234531,1.089250892711094
50,69.8500256128609,9.8178357320372,0.5645966548029338,0.9229055059397583,1.4120691671236902,0.8823925448775496
23,71.3012604746968,6.8351090551819595,0.5630965527728896,0.8609915330912788,0.5898635881619229,1.0578739320524069
15,49.191456945240496,10.642818140192,0.5148444830225858,0.8988005838726382,1.4638189433271915,0.8999672971476302
39,15.200234765932,8.45439896355383,0.5119133405946821,0.5799165821396829,0.7802990798301846,1.11614652299907
45,19.278538313508,4.91630930057727,0.505782483270343,0.7770903055144776,0.5689991766616145,1.0938110453434648
42,52.1660688914359,11.857846526754999,0.46675416652711155,0.9019763431111727,1.5131154334529338,0.8929718095138253
21,62.197139017656404,11.183065410703401,0.4464832937657669,0.9110205286712711,1.5320405280668508,0.8759182758952758
13,50.274731192365294,5.205888173636049,0.363291796677949,0.7606987726588575,0.4135154748216885,1.0645612925597647
17,54.6156958855689,5.41744328420609,0.36025864668808893,0.762997441199589,0.4093290168137083,1.064858121165761
34,28.5510874308646,4.32251120135188,0.330383753445625,0.741110286089554,0.38684340055298183,1.0734916201720028
33,41.488112352415904,4.765193889895451,0.3105520774146162,0.7187602538747512,0.37334925327641005,1.0595943351961745
26,11.202373144775601,11.7331780420151,0.19972504237642552,0.3739951448894625,0.5296500770286497,1.1653144855670359
32,14.244942333176699,3.62221832582727,0.09150929306947919,0.45356501231749596,0.27822156545215704,1.0761581265342322
36,87.26742065921431,5.94454985740595,0.08713126939621174,0.44379069696407897,0.2783260710861412,1.05610054239044
7,60.6182217389345,4.18288234407082,-0.1451262441404617,0.13900628890601593,0.24608977755996958,1.0402904576329566
12,58.1223144907504,3.5624578970950096,-0.22639155131577504,0.04157500052188256,0.23561033526394434,1.0341496406830935
44,89.7243469003588,4.462197790062049,-0.2273312917140773,0.04145406306704508,0.23409418713477878,1.0303326924148495
30,11.9412579916418,2.81335972133093,-0.22866261526270804,0.03838792797646721,0.23622515988247675,1.0395226351127682
40,78.3608044922352,3.9041096824687003,-0.23005148566099942,0.03704240424272517,0.23566387881546078,1.0391103567201123
5,29.507476771995396,2.3005252286326097,-0.2347385921762768,0.030863919229168705,0.23586178317819803,1.0380451514651172
8,78.8044899892062,3.22971164290793,-0.23594342239389188,0.029247638438526808,0.23596530176326316,1.0380391347410518
3,43.7808936011046,2.1803443818818797,-0.23729722225483596,0.02751522433962421,0.2359664666258344,1.03782244291567
6,83.677690500021,3.1011357752606297,-0.23757627017794025,0.027255902389084926,0.23589448816786895,1.0388163864679054
48,65.4481560997665,2.40225852499716,-0.23825426593172216,0.02631066865675473,0.23595271326116454,1.0378742228101874
31,74.81835671663279,2.67389431511983,-0.23882293451282677,0.026960663318997845,0.23384946081864572,1.0298339346799363
